"ReasonForAttending","Socialize","Tailgate","TakeSelfies","PostToSocialMedia","SeeFriends","VisitKidAttractions","MeetMascot","SnacksForKids","KidsRunBases","KidsSlide","GetDinner","EatParkFood","SampleFood","GetDrinks","DrinkBeer","BuyGear","TourThePark","VisitAttractions","WatchPregameShow","SeeTheChicken","UpgradeSeats","GetAutographs","WatchGame","SeePractice","MeetPlayers"
"Special Game",2,2,4,2,1,0,3,1,5,1,5,0,4,2,0,4,2,5,1,6,0,1,0,2,1
"Support the Team",0,2,2,2,2,4,0,2,2,0,5,2,1,0,3,3,3,0,1,2,1,1,0,1,2
"Other Promotion",0,1,2,1,4,3,5,3,8,2,4,2,4,2,1,2,1,1,1,5,1,0,2,6,2
"Company outing",2,2,0,4,2,3,3,7,2,0,9,5,1,8,8,2,1,0,1,6,2,2,1,1,1
"No distinct reason",7,5,0,4,1,2,1,8,0,0,2,2,1,2,2,0,2,3,2,10,2,8,2,0,2
"I was given tickets",1,2,3,0,1,2,6,1,2,2,1,4,0,2,2,9,0,7,0,2,0,1,1,2,0
"Family outing, no children",1,4,4,2,3,1,1,1,0,8,0,1,4,2,3,2,2,2,2,2,1,1,0,1,0
"See my friends",4,0,0,6,1,2,2,3,0,3,4,2,4,5,4,1,4,8,0,10,1,2,1,0,0
"See a concert",4,2,1,4,4,2,2,3,2,2,4,4,5,4,6,2,1,2,1,7,1,0,2,0,1
"Special Game",2,0,3,4,4,6,2,0,2,2,2,4,2,4,0,8,9,4,4,3,2,0,1,2,1
"Special Game",3,4,0,2,1,4,1,2,1,2,1,1,5,3,4,8,2,2,2,1,2,2,2,3,0
"Company outing",2,4,5,1,1,1,1,1,2,2,0,4,0,4,2,5,9,1,5,9,1,1,1,9,0
"See my friends",2,9,0,1,0,1,1,2,2,2,0,5,2,4,4,0,2,0,2,8,1,1,2,0,1
"Support the opposing team",2,1,2,3,2,2,3,1,1,2,4,2,8,4,1,2,8,1,4,4,0,2,2,1,1
"I was given tickets",0,4,3,3,1,3,1,2,2,10,4,1,9,2,2,5,0,8,2,5,1,1,1,2,1
"Family outing, no children",2,4,3,4,3,3,1,2,1,2,0,2,2,4,0,2,5,0,0,0,1,1,1,0,1
"Support the opposing team",8,4,4,2,4,1,6,3,5,2,2,1,4,4,4,2,1,2,5,2,1,8,2,0,1
"Company outing",1,8,1,2,2,2,3,1,3,2,4,4,4,5,4,2,1,0,1,10,1,1,1,0,2
"I was given tickets",3,2,0,6,0,5,2,7,8,2,4,4,4,2,5,3,1,2,2,8,2,0,0,2,3
"Family outing, with children",3,3,2,4,3,2,1,5,0,6,6,4,8,2,6,2,4,1,2,5,1,0,1,0,0
"Company outing",8,2,7,4,0,5,0,10,3,4,4,3,4,6,2,10,1,2,1,1,1,1,2,2,0
"Support the Team",5,2,3,0,3,5,2,0,2,2,2,5,4,0,3,0,2,0,2,6,9,2,1,0,1
"Company outing",0,0,4,1,3,2,1,3,8,1,3,1,2,2,8,1,2,2,2,6,0,1,1,2,1
"See my friends",9,4,2,2,2,3,1,2,2,2,4,9,1,1,0,1,1,1,9,1,1,2,2,2,1
"Celebrate a birthday",2,2,4,1,0,3,8,8,9,3,2,4,6,8,5,2,5,0,2,0,2,1,8,1,0
"No distinct reason",0,2,2,3,4,7,3,5,2,1,7,8,5,4,4,2,8,2,2,6,1,1,1,1,1
"I was given tickets",2,3,2,0,1,8,2,3,2,1,5,1,2,4,2,5,2,1,8,2,0,1,5,1,10
"Other Promotion",2,3,8,9,2,7,4,0,1,3,2,4,2,1,1,9,10,1,7,9,1,0,1,0,0
"See my friends",2,4,7,2,10,10,0,10,3,0,2,0,1,2,0,1,0,2,5,2,1,1,2,0,0
"Support the opposing team",0,1,2,0,2,3,7,0,4,0,4,4,4,5,8,2,4,4,8,3,0,0,1,0,1
"See my friends",0,3,2,1,2,2,6,8,0,3,8,8,4,5,0,1,2,6,9,1,2,0,1,0,4
"Support the opposing team",3,2,5,3,4,8,2,10,1,5,0,4,1,2,2,1,1,0,2,10,1,2,0,2,0
"See my friends",2,3,2,0,0,1,1,1,2,1,4,2,2,4,2,2,0,0,1,5,10,0,0,1,2
"Visit the park",0,9,2,3,0,2,9,4,1,0,3,1,7,4,2,2,2,5,1,9,0,0,1,2,1
"No distinct reason",0,3,3,4,5,3,1,2,5,0,1,2,2,4,0,2,3,0,0,8,1,1,1,1,2
"Family outing, no children",2,2,4,5,3,7,2,3,1,2,2,2,7,2,2,1,0,2,9,4,1,1,1,1,1
"No distinct reason",0,1,2,2,4,2,0,7,1,6,4,5,2,4,0,1,6,5,0,2,0,0,1,1,1
"Support the opposing team",2,3,0,2,4,1,4,1,0,7,4,10,3,2,2,7,3,2,10,2,2,1,10,1,1
"Celebrate a birthday",0,3,2,2,0,1,4,0,10,1,2,3,1,3,4,5,0,5,8,5,2,1,2,1,4
"No distinct reason",1,3,7,4,2,1,4,0,0,8,2,2,6,3,2,1,0,9,2,1,1,1,0,1,1
"Family outing, no children",9,3,1,1,0,1,3,1,2,2,0,4,1,5,5,0,0,0,9,1,0,1,0,0,1
"Celebrate an anniversary",6,4,2,3,3,0,0,6,1,7,2,2,4,2,4,4,2,1,2,2,1,2,2,0,1
"Company outing",9,1,1,3,2,2,2,2,8,7,4,8,3,4,1,0,2,4,0,9,1,2,9,0,1
"I was given tickets",1,7,2,2,2,0,7,2,1,1,4,4,2,0,4,5,4,0,9,0,0,0,2,6,2
"Celebrate an anniversary",1,2,3,1,4,2,0,3,5,1,6,4,4,4,10,2,0,1,6,5,1,1,2,1,1
"Visit the park",4,6,1,2,6,4,2,1,2,2,2,3,2,0,3,8,5,8,5,1,1,8,1,1,8
"Support the Team",3,1,2,2,2,8,2,2,1,1,1,2,4,0,5,2,5,0,1,1,0,1,2,1,2
"Visit the park",3,2,3,1,3,6,2,2,1,0,2,3,4,4,6,9,7,1,9,1,2,2,1,1,2
"Celebrate an anniversary",3,1,2,3,0,1,1,2,2,0,3,4,3,2,1,2,7,0,1,1,0,2,2,6,0
"Special Game",4,7,0,1,1,1,6,4,3,4,1,1,1,6,0,0,3,1,3,2,0,1,0,2,0
"Visit the park",3,0,8,2,4,1,2,1,2,6,3,8,4,1,4,6,1,2,2,0,1,0,1,1,1
"Family outing, no children",1,3,9,2,2,1,2,2,2,1,2,0,3,9,8,2,4,1,0,1,0,1,2,1,1
"Family outing, with children",3,0,1,1,1,9,2,4,2,2,4,8,4,9,7,8,1,2,2,2,2,2,1,1,1
"Support the Team",3,0,2,2,0,7,2,6,2,2,0,8,1,4,0,6,5,2,2,0,2,2,1,0,2
"I was given tickets",0,1,1,2,5,2,4,9,2,1,1,3,4,0,4,7,2,2,8,1,1,1,2,4,1
"Support the Team",1,2,3,1,2,4,2,1,3,1,2,4,2,2,3,6,1,0,3,4,1,0,1,2,0
"Visit the park",1,2,2,2,9,2,2,2,2,1,5,2,3,2,2,1,2,10,4,2,1,1,2,6,1
"Support the opposing team",3,2,2,0,4,1,1,10,2,2,4,2,3,5,7,6,1,3,3,4,1,6,0,1,1
"See my friends",2,3,0,2,4,1,9,7,1,1,3,2,2,1,2,7,2,0,2,10,0,1,0,2,1
"See my friends",4,6,2,3,2,1,2,1,1,2,2,3,2,4,2,5,1,7,7,0,2,0,1,0,1
"Celebrate an anniversary",1,2,2,3,3,1,3,3,2,2,4,5,4,4,2,3,6,1,1,5,2,0,1,1,2
"Support the opposing team",4,1,4,1,3,2,1,1,0,3,2,0,4,3,4,1,5,0,2,0,0,1,0,2,0
"See my friends",1,8,2,3,3,0,2,2,1,1,1,1,0,0,2,1,8,2,6,4,0,1,1,0,1
"Special Game",0,1,2,3,1,3,1,1,3,2,0,2,3,2,3,1,3,2,9,2,1,2,1,1,1
"Celebrate an anniversary",2,3,9,3,2,1,1,2,0,1,7,0,2,4,2,8,1,0,0,0,2,2,1,1,0
"See a concert",1,3,0,2,1,0,6,0,5,3,0,2,1,4,0,10,8,2,0,1,1,2,1,0,1
"Special Game",3,2,3,3,8,7,2,1,7,2,2,4,4,2,6,8,0,6,9,0,2,0,2,1,1
"Visit the park",5,2,1,4,4,7,3,4,2,8,0,4,2,4,6,9,6,0,1,7,2,0,1,2,2
"No distinct reason",2,8,1,2,1,3,1,4,2,2,2,2,0,4,1,2,1,2,4,0,1,1,0,2,1
"See my friends",1,4,3,4,1,5,2,1,7,7,0,2,4,3,4,0,2,4,2,2,0,2,1,0,1
"Visit the park",3,1,3,2,3,1,4,0,4,1,5,0,2,2,0,8,2,1,0,0,2,1,0,2,1
"Company outing",3,1,3,0,3,1,2,0,0,2,3,4,2,2,2,1,1,4,0,1,2,2,1,2,2
"Family outing, with children",0,2,4,4,2,3,2,3,2,10,2,3,3,4,2,2,2,1,4,1,1,2,1,1,0
"Company outing",3,4,2,2,3,1,3,2,4,1,4,0,3,4,2,5,2,0,2,2,1,1,1,0,1
"Family outing, with children",4,2,2,9,0,6,8,3,2,2,2,2,5,3,4,9,2,1,4,0,1,1,2,0,1
"Special Game",4,3,1,1,2,3,1,0,3,4,3,2,3,4,3,1,10,1,4,2,1,0,1,1,1
"Family outing, with children",0,2,2,3,2,2,2,8,1,2,3,2,4,0,4,1,2,3,10,5,1,1,2,3,9
"See my friends",1,2,1,4,3,2,2,0,0,3,2,4,1,0,4,10,0,2,5,1,1,1,1,2,1
"See a concert",2,2,0,0,3,3,0,2,2,3,4,1,4,4,2,0,7,0,5,1,1,1,1,1,0
"Support the Team",5,0,2,1,2,0,0,6,2,2,2,4,3,4,2,2,2,3,5,2,0,1,1,1,1
"No distinct reason",3,1,8,3,4,1,6,5,1,3,3,2,7,2,2,3,6,2,2,3,1,1,2,1,1
"Support the Team",3,2,4,5,2,2,3,2,0,0,5,0,6,4,2,5,1,1,1,5,1,2,0,2,2
"Special Game",1,1,1,2,1,0,2,5,1,4,0,1,0,3,0,2,4,1,2,2,1,2,1,2,1
"No distinct reason",4,2,4,10,3,0,3,3,1,2,4,0,6,2,4,0,4,6,0,1,1,2,1,2,2
"See a concert",3,1,4,1,3,4,0,3,8,2,0,2,2,1,2,2,3,7,7,6,1,7,1,2,0
"Family outing, with children",3,1,0,2,4,0,3,5,2,8,4,2,4,4,4,2,0,0,7,0,1,1,1,1,9
"Visit the park",1,0,7,4,4,2,2,2,4,1,3,0,5,2,2,0,1,2,5,7,1,1,1,0,1
"Family outing, with children",0,0,3,1,1,0,1,3,3,3,0,5,3,2,5,0,2,6,1,0,0,1,2,1,1
"Family outing, with children",2,3,8,3,2,1,0,2,5,7,0,9,2,0,2,2,2,10,3,1,4,2,2,1,2
"See a concert",2,9,2,3,4,0,6,3,4,9,0,4,2,1,4,8,2,3,1,3,1,1,2,1,1
"I was given tickets",2,4,2,3,4,2,2,0,2,2,0,4,0,4,1,2,2,0,5,2,1,2,0,1,0
"Support the Team",0,4,4,4,1,3,2,1,5,1,7,1,0,4,0,1,1,2,2,0,1,1,1,2,1
"No distinct reason",3,0,4,3,4,4,0,3,2,10,1,0,4,0,2,0,2,0,0,2,1,0,3,2,0
"Family outing, no children",0,2,4,2,3,2,4,2,2,7,0,2,1,0,0,1,6,0,3,0,1,1,1,0,10
"Celebrate a birthday",2,4,0,4,2,2,1,5,5,0,0,0,2,2,0,4,2,1,2,1,0,1,0,1,2
"Special Game",1,1,9,0,6,1,1,0,2,6,2,2,2,9,1,1,6,0,2,2,0,0,1,2,2
"Support the Team",2,7,0,1,3,4,0,1,6,3,10,6,2,2,1,1,8,2,4,3,0,2,1,0,1
"Support the opposing team",5,2,1,3,1,2,2,2,7,2,4,2,4,4,1,9,1,2,2,2,1,1,1,1,2
"Support the opposing team",2,2,1,2,1,0,2,1,3,2,2,0,3,4,2,0,2,10,2,0,0,2,0,2,0
"Family outing, with children",4,1,4,4,1,8,1,3,2,2,10,2,1,7,3,0,2,2,5,6,0,1,0,2,1
"No distinct reason",6,2,1,1,2,3,3,1,2,4,0,4,0,4,0,2,0,7,1,0,0,1,1,1,0
"Special Game",2,1,4,2,2,2,3,2,3,8,3,4,2,2,2,1,3,8,0,3,1,1,2,6,2
"Support the opposing team",4,2,1,3,2,5,2,2,1,3,2,4,2,0,0,8,4,2,1,7,2,3,0,1,1
"Special Game",1,0,5,3,2,1,1,0,3,2,0,2,4,4,4,8,2,2,2,9,4,1,1,0,0
"Celebrate an anniversary",1,1,3,3,1,7,8,2,9,0,7,4,4,2,1,0,10,9,3,6,1,0,2,1,0
"Other Promotion",3,2,1,2,4,2,2,2,6,2,4,3,0,2,2,5,1,1,0,1,0,2,0,1,3
"Company outing",1,1,8,4,0,1,2,4,1,3,3,4,4,2,0,9,8,6,1,1,2,0,1,1,0
"Celebrate an anniversary",9,4,1,3,4,5,2,1,6,2,2,2,3,0,4,2,1,7,9,6,1,1,0,1,1
"Support the opposing team",0,3,2,1,3,1,9,2,2,9,1,2,2,3,3,6,1,0,5,1,2,1,1,1,1
"Special Game",2,1,7,0,2,0,1,2,1,8,4,2,3,1,4,2,2,0,0,2,1,1,0,5,1
"Family outing, with children",0,1,3,2,10,3,1,5,5,3,3,7,4,8,0,10,2,6,1,2,8,1,1,6,1
"Celebrate a birthday",4,2,2,2,2,0,8,0,2,1,5,4,1,4,2,2,5,6,3,2,0,2,0,1,0
"Company outing",1,3,1,1,10,0,5,1,2,3,2,2,4,3,4,2,1,3,6,4,0,1,0,0,0
"See my friends",4,2,3,3,1,2,8,4,1,5,4,4,9,0,2,8,1,1,5,1,2,0,1,0,1
"See a concert",0,2,3,2,2,6,0,0,1,8,5,4,3,1,1,0,9,3,2,2,1,4,1,1,1
"Celebrate a birthday",0,0,3,0,4,4,8,3,1,2,2,0,2,1,4,3,0,4,1,6,0,1,0,2,1
"Celebrate an anniversary",2,3,1,4,2,2,1,2,2,6,2,3,2,5,4,0,2,2,3,1,2,2,1,1,1
"See my friends",4,1,1,3,7,9,3,2,2,2,4,3,3,4,5,9,5,1,1,2,5,1,0,2,0
"Support the opposing team",0,2,0,4,2,10,3,2,8,5,0,4,0,3,0,2,0,6,2,8,0,2,1,1,1
"Special Game",3,3,3,2,3,2,2,2,0,1,1,0,4,2,1,1,3,7,5,1,0,2,0,2,2
"Support the opposing team",3,1,2,2,1,0,3,3,9,2,2,7,4,1,4,1,5,7,0,8,1,2,1,4,1
"Company outing",1,0,0,1,4,3,1,2,2,0,3,2,4,6,3,1,2,0,0,2,1,0,1,1,1
"Special Game",4,2,2,0,1,1,2,2,5,0,4,2,4,7,2,0,0,9,1,7,1,1,0,1,8
"I was given tickets",0,3,0,7,0,3,8,3,3,0,4,3,4,9,8,2,2,0,2,9,2,1,1,1,2
"I was given tickets",3,0,3,3,0,1,0,1,2,0,4,1,4,1,1,9,8,2,0,4,1,0,2,1,2
"Celebrate an anniversary",2,2,2,10,3,1,2,7,2,9,2,4,3,0,0,0,0,2,7,2,3,2,2,1,1
"See a concert",1,0,2,3,0,7,0,0,2,7,3,0,1,1,0,9,2,5,1,6,0,1,1,0,1
"See a concert",2,2,3,2,2,2,4,8,2,1,2,1,4,9,2,5,2,6,8,2,1,0,1,2,1
"Special Game",2,7,2,9,2,7,1,3,2,2,0,2,0,3,4,2,0,1,4,2,2,0,1,1,1
"Family outing, with children",1,0,1,1,1,2,1,4,1,4,1,3,2,0,3,1,2,7,1,1,1,2,0,0,5
"See a concert",5,1,3,2,1,1,8,3,3,2,4,4,1,0,0,3,0,10,2,7,1,0,0,8,1
"Special Game",4,2,6,0,8,2,10,1,7,4,2,2,3,4,4,2,2,6,0,0,1,1,2,1,7
"See my friends",0,3,2,0,8,3,1,2,0,3,0,5,2,10,3,1,1,1,0,4,2,1,1,1,0
"No distinct reason",4,0,5,3,3,1,2,2,0,2,1,4,2,2,4,9,3,8,7,5,1,1,2,2,1
"Visit the park",2,1,0,4,4,5,1,1,2,2,5,2,0,4,0,0,5,5,1,2,1,2,10,0,2
"Support the Team",4,2,4,4,1,3,5,3,2,1,2,10,4,3,1,1,1,0,2,0,1,1,0,1,2
"Support the opposing team",4,2,1,2,0,8,2,1,1,8,6,3,9,4,2,2,1,2,4,1,1,1,0,1,1
"Family outing, no children",3,5,1,4,2,1,2,4,2,3,0,1,2,6,4,9,1,3,0,0,1,1,6,1,1
"Company outing",2,3,1,3,4,1,2,1,0,6,0,3,0,2,2,8,2,5,2,0,0,6,1,2,4
"Support the Team",1,1,2,2,9,9,3,2,1,5,0,4,4,4,0,8,4,2,2,10,1,0,1,1,2
"No distinct reason",2,0,2,1,2,2,1,2,3,5,3,2,3,8,6,8,5,7,2,2,1,1,1,7,1
"Special Game",10,2,4,3,1,2,1,2,2,4,2,3,2,3,1,4,0,2,1,1,1,1,10,0,1
"Family outing, with children",2,2,4,1,4,2,8,2,2,2,2,1,2,7,2,5,9,2,2,2,1,2,1,0,1
"Celebrate a birthday",1,1,2,3,2,3,3,0,1,6,4,9,2,0,2,1,5,2,6,1,0,1,1,0,5
"No distinct reason",2,3,1,6,3,1,3,2,1,2,2,1,4,4,0,2,5,2,2,9,2,0,0,1,0
"Visit the park",3,1,2,4,0,8,2,8,1,1,3,0,0,2,0,1,0,5,4,4,1,0,2,2,1
"Support the Team",2,2,3,7,4,0,3,2,3,1,4,0,4,4,2,0,2,7,3,2,1,1,1,0,8
"Support the Team",3,4,1,2,2,2,1,2,9,1,4,4,2,2,2,2,10,0,9,0,1,2,0,0,0
"Support the opposing team",2,1,2,4,5,0,8,2,8,0,1,2,1,4,0,2,0,1,5,2,0,0,1,0,0
"No distinct reason",0,2,0,1,2,2,2,2,2,1,4,5,4,0,4,0,1,1,2,2,2,2,0,1,2
"Support the opposing team",3,3,3,2,2,3,3,1,2,1,2,2,2,2,2,2,0,4,1,2,1,1,0,1,1
"Support the Team",0,4,2,9,3,3,1,1,2,10,2,4,1,4,0,0,1,1,2,0,1,0,1,0,1
"Celebrate a birthday",6,3,2,1,0,2,5,8,2,0,4,3,4,4,0,2,0,0,9,2,1,1,1,1,1
"Celebrate a birthday",2,2,2,3,2,3,1,1,3,8,4,0,0,5,2,6,5,10,7,0,0,2,1,2,1
"Company outing",1,3,2,1,2,1,8,0,1,7,4,4,0,2,5,1,5,1,5,2,0,2,0,0,2
"No distinct reason",4,1,2,2,0,1,3,1,3,1,2,0,0,2,2,6,2,2,2,0,1,2,1,2,0
"Special Game",1,3,3,9,3,2,9,1,1,0,0,4,2,3,0,0,1,0,7,5,2,2,0,0,1
"Visit the park",2,2,2,4,3,2,3,0,0,8,2,5,1,2,2,2,7,0,6,1,0,0,2,0,1
"Celebrate a birthday",4,3,5,3,2,2,0,1,2,2,2,4,0,7,0,0,8,2,2,1,1,0,2,2,1
"Support the Team",4,1,0,1,4,3,1,4,1,2,3,0,4,10,0,1,0,2,2,9,1,1,2,0,1
"See a concert",3,1,2,3,3,2,2,0,1,3,5,3,4,4,2,2,1,2,9,1,0,0,0,1,1
"See my friends",5,4,1,5,2,8,1,5,7,4,1,4,2,5,4,7,0,7,2,9,2,1,1,0,1
"Support the opposing team",2,1,1,2,0,2,1,5,3,4,4,0,3,0,0,2,2,3,0,2,2,1,2,5,1
"Visit the park",0,2,4,3,6,2,0,1,1,0,2,10,3,5,0,5,2,4,2,5,2,3,1,1,1
"I was given tickets",2,2,0,2,2,3,1,3,8,2,2,2,2,0,2,0,4,0,4,10,1,0,10,1,0
"Other Promotion",2,4,0,1,2,7,2,7,3,3,7,4,4,0,3,1,2,0,2,0,1,1,1,0,1
"Support the opposing team",4,2,3,3,1,4,1,0,1,6,4,0,2,1,5,3,2,2,8,2,0,0,1,2,1
"Other Promotion",3,4,3,5,3,2,2,2,2,1,0,4,2,3,2,2,6,0,1,9,1,2,1,2,0
"Special Game",3,3,0,2,0,1,8,2,3,7,0,5,2,4,4,0,6,2,2,2,1,0,1,2,2
"See a concert",10,7,4,2,10,3,2,5,10,4,5,10,7,4,5,3,2,9,0,2,1,1,1,1,5
"Special Game",0,5,0,4,8,2,3,7,3,1,3,3,4,8,2,1,1,2,2,1,0,1,1,9,1
"Support the opposing team",2,1,4,3,2,1,2,8,5,2,1,4,4,10,3,4,8,3,0,9,2,1,0,1,1
"Company outing",4,1,3,1,2,1,4,3,2,6,0,2,4,4,1,2,5,9,10,0,1,0,1,1,1
"Family outing, with children",4,1,0,3,0,3,2,2,2,5,2,2,1,0,0,8,2,0,1,8,1,2,2,0,3
"Family outing, no children",0,9,9,1,10,1,2,0,2,1,4,4,2,2,0,5,8,2,2,6,1,1,1,9,1
"No distinct reason",1,1,0,3,2,1,2,1,1,2,4,0,0,2,0,2,0,3,10,2,1,0,1,0,0
"Celebrate a birthday",2,7,4,1,4,2,1,4,5,1,3,2,0,2,4,1,6,2,9,0,0,2,0,2,1
"Other Promotion",3,4,4,0,2,10,3,2,0,10,2,4,1,2,0,2,3,2,9,2,1,2,0,0,2
"See my friends",0,2,2,3,7,9,1,1,0,1,4,9,3,4,4,1,5,0,7,2,2,1,0,1,2
"Family outing, with children",0,4,0,0,1,2,0,2,2,6,1,4,10,3,0,5,7,2,1,0,1,2,1,1,10
"Celebrate a birthday",2,4,2,2,4,3,2,1,5,1,9,3,2,4,0,10,2,4,0,8,1,1,1,1,2
"See a concert",1,8,3,2,3,1,6,3,2,2,4,3,2,4,4,2,2,2,8,0,1,0,0,1,1
"No distinct reason",10,1,1,3,0,1,9,2,1,2,0,0,3,3,2,7,2,6,5,9,1,8,2,1,8
"No distinct reason",0,4,1,2,2,2,2,6,7,1,0,4,3,4,2,5,2,3,2,0,1,2,9,0,1
"No distinct reason",2,0,9,2,5,1,4,3,5,2,0,2,10,1,4,2,2,1,2,2,1,0,6,1,0
"Visit the park",3,3,4,3,2,0,2,2,5,2,4,2,3,0,4,2,0,7,0,10,0,2,0,1,1
"Celebrate a birthday",2,1,1,3,6,6,0,0,2,0,2,5,4,0,4,0,10,1,9,9,1,1,1,1,0
"Special Game",0,0,2,0,5,2,0,0,3,0,1,1,1,0,3,1,1,6,0,2,3,1,2,1,1
"No distinct reason",1,3,3,0,0,2,2,2,5,2,4,4,4,2,2,1,0,5,2,1,1,1,4,1,8
"Company outing",4,3,2,3,0,2,2,2,2,1,4,1,4,2,3,10,8,0,7,6,1,1,1,2,1
"Other Promotion",5,0,3,3,2,1,0,4,2,8,4,0,0,4,4,6,3,7,7,7,0,1,0,0,0
"No distinct reason",2,3,2,2,3,4,1,3,2,8,4,0,2,6,9,6,2,1,0,3,2,1,0,2,0
"Special Game",5,1,2,2,0,1,3,1,0,0,2,4,4,2,0,8,1,5,7,10,1,1,2,0,1
"Family outing, with children",2,3,4,3,3,0,1,0,3,0,4,2,0,4,2,1,1,0,9,8,1,1,0,1,2
"I was given tickets",2,2,4,2,3,4,6,9,2,4,3,2,2,2,4,8,3,2,2,1,1,1,1,2,0
"Celebrate a birthday",4,4,1,1,1,2,1,0,2,2,3,5,4,4,3,4,5,1,1,10,1,0,2,1,0
"Special Game",1,2,2,3,3,3,1,0,0,2,1,4,2,2,1,1,2,8,1,1,1,2,0,1,7
"Family outing, with children",1,3,2,4,3,0,3,1,3,3,3,2,2,4,0,2,1,9,0,2,1,0,9,0,2
"See my friends",3,2,2,2,3,3,7,8,0,2,8,3,2,5,4,6,4,0,1,9,3,4,0,3,2
"Family outing, with children",4,4,2,3,0,2,2,2,3,2,2,2,5,2,3,1,2,2,2,6,1,2,1,1,2
"Other Promotion",2,3,2,4,2,3,5,0,3,0,8,2,4,1,0,5,1,4,8,6,0,2,1,0,6
